Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,32.76,32.14,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,32.74,32.10,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,32.75,32.10,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,32.75,32.10,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,32.76,32.10,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,32.78,32.16,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,32.78,32.16,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,32.79,32.16,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.84,32.81,32.16,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.84,32.81,32.16,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,32.83,32.12,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,32.84,32.12,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,32.84,32.12,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,32.86,32.12,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.85,32.88,32.08,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,32.90,32.08,36.00,20.00,AUTO,0,100,NaN,162.00,0.00,0.00,162.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
